"","Ref_Date","GEO","COMPONENTS","Value"
"1","2008/01","Canada","Total generation","59082501.0"
"2","2008/02","Canada","Total generation","55885424.0"
"3","2008/03","Canada","Total generation","55068839.0"
"4","2008/04","Canada","Total generation","48248631.0"
"5","2008/05","Canada","Total generation","45495615.0"
"6","2008/06","Canada","Total generation","44966961.0"
"7","2008/07","Canada","Total generation","49424948.0"
"8","2008/08","Canada","Total generation","48066719.0"
"9","2008/09","Canada","Total generation","43684551.0"
"10","2008/10","Canada","Total generation","46570962.0"
"11","2008/11","Canada","Total generation","48214813.0"
"12","2008/12","Canada","Total generation","56568724.0"
"13","2009/01","Canada","Total generation","59539341.0"
"14","2009/02","Canada","Total generation","51232146.0"
"15","2009/03","Canada","Total generation","52223235.0"
"16","2009/04","Canada","Total generation","44174117.0"
"17","2009/05","Canada","Total generation","43092495.0"
"18","2009/06","Canada","Total generation","42537244.0"
"19","2009/07","Canada","Total generation","44943777.0"
"20","2009/08","Canada","Total generation","46021395.0"
"21","2009/09","Canada","Total generation","42530088.0"
"22","2009/10","Canada","Total generation","47357167.0"
"23","2009/11","Canada","Total generation","46814279.0"
"24","2009/12","Canada","Total generation","57035235.0"
"25","2010/01","Canada","Total generation","58679092.0"
"26","2010/02","Canada","Total generation","51859976.0"
"27","2010/03","Canada","Total generation","51129869.0"
"28","2010/04","Canada","Total generation","44237908.0"
"29","2010/05","Canada","Total generation","42653259.0"
"30","2010/06","Canada","Total generation","42534130.0"
"31","2010/07","Canada","Total generation","45298282.0"
"32","2010/08","Canada","Total generation","43655176.0"
"33","2010/09","Canada","Total generation","39913848.0"
"34","2010/10","Canada","Total generation","42988948.0"
"35","2010/11","Canada","Total generation","47537822.0"
"36","2010/12","Canada","Total generation","56271377.0"
"37","2011/01","Canada","Total generation","58717825.0"
"38","2011/02","Canada","Total generation","52013676.0"
"39","2011/03","Canada","Total generation","53713281.0"
"40","2011/04","Canada","Total generation","46647271.0"
"41","2011/05","Canada","Total generation","45489643.0"
"42","2011/06","Canada","Total generation","43112968.0"
"43","2011/07","Canada","Total generation","47874247.0"
"44","2011/08","Canada","Total generation","47165459.0"
"45","2011/09","Canada","Total generation","43300252.0"
"46","2011/10","Canada","Total generation","45060611.0"
"47","2011/11","Canada","Total generation","47515941.0"
"48","2011/12","Canada","Total generation","54839638.0"
"49","2012/01","Canada","Total generation","58104035.0"
"50","2012/02","Canada","Total generation","51934746.0"
"51","2012/03","Canada","Total generation","51614413.0"
"52","2012/04","Canada","Total generation","46417982.0"
"53","2012/05","Canada","Total generation","45932634.0"
"54","2012/06","Canada","Total generation","44614478.0"
"55","2012/07","Canada","Total generation","48825024.0"
"56","2012/08","Canada","Total generation","48144767.0"
"57","2012/09","Canada","Total generation","43676149.0"
"58","2012/10","Canada","Total generation","48163383.0"
"59","2012/11","Canada","Total generation","51625924.0"
"60","2012/12","Canada","Total generation","55821469.0"
"61","2013/01","Canada","Total generation","59931424.0"
"62","2013/02","Canada","Total generation","53351007.0"
"63","2013/03","Canada","Total generation","54263640.0"
"64","2013/04","Canada","Total generation","48104442.0"
"65","2013/05","Canada","Total generation","46197094.0"
"66","2013/06","Canada","Total generation","45784142.0"
"67","2013/07","Canada","Total generation","48848397.0"
"68","2013/08","Canada","Total generation","48397125.0"
"69","2013/09","Canada","Total generation","44729414.0"
"70","2013/10","Canada","Total generation","47727959.0"
"71","2013/11","Canada","Total generation","52969116.0"
"72","2013/12","Canada","Total generation","60400808.0"
"73","2014/01","Canada","Total generation","60251049.0"
"74","2014/02","Canada","Total generation","53553403.0"
"75","2014/03","Canada","Total generation","55854771.0"
"76","2014/04","Canada","Total generation","47648737.0"
"77","2014/05","Canada","Total generation","45241004.0"
"78","2014/06","Canada","Total generation","44156323.0"
"79","2014/07","Canada","Total generation","46718490.0"
"80","2014/08","Canada","Total generation","47448094.0"
"81","2014/09","Canada","Total generation","44715421.0"
"82","2014/10","Canada","Total generation","45033527.0"
"83","2014/11","Canada","Total generation","51679130.0"
"84","2014/12","Canada","Total generation","57625402.0"
"85","2015/01","Canada","Total generation","60976764.0"
"86","2015/02","Canada","Total generation","55306305.0"
"87","2015/03","Canada","Total generation","55274560.0"
"88","2015/04","Canada","Total generation","47738184.0"
"89","2015/05","Canada","Total generation","44559705.0"
"90","2015/06","Canada","Total generation","44340191.0"
"91","2015/07","Canada","Total generation","46765949.0"
"92","2015/08","Canada","Total generation","46555243.0"
"93","2015/09","Canada","Total generation","43653195.0"
"94","2015/10","Canada","Total generation","44733343.0"
"95","2015/11","Canada","Total generation","48985388.0"
"96","2015/12","Canada","Total generation","53866923.0"
"97","2008/01","Canada","Total receipts","1391169.0"
"98","2008/02","Canada","Total receipts","1411545.0"
"99","2008/03","Canada","Total receipts","2003497.0"
"100","2008/04","Canada","Total receipts","1915680.0"
"101","2008/05","Canada","Total receipts","2809124.0"
"102","2008/06","Canada","Total receipts","3464696.0"
"103","2008/07","Canada","Total receipts","2053489.0"
"104","2008/08","Canada","Total receipts","1381673.0"
"105","2008/09","Canada","Total receipts","1841723.0"
"106","2008/10","Canada","Total receipts","2003055.0"
"107","2008/11","Canada","Total receipts","2047542.0"
"108","2008/12","Canada","Total receipts","1569298.0"
"109","2009/01","Canada","Total receipts","2439724.0"
"110","2009/02","Canada","Total receipts","1559257.0"
"111","2009/03","Canada","Total receipts","1673849.0"
"112","2009/04","Canada","Total receipts","1451687.0"
"113","2009/05","Canada","Total receipts","1350757.0"
"114","2009/06","Canada","Total receipts","1557408.0"
"115","2009/07","Canada","Total receipts","1446128.0"
"116","2009/08","Canada","Total receipts","1350557.0"
"117","2009/09","Canada","Total receipts","1356274.0"
"118","2009/10","Canada","Total receipts","1318493.0"
"119","2009/11","Canada","Total receipts","1251268.0"
"120","2009/12","Canada","Total receipts","1516945.0"
"121","2010/01","Canada","Total receipts","1204844.0"
"122","2010/02","Canada","Total receipts","1012372.0"
"123","2010/03","Canada","Total receipts","1294529.0"
"124","2010/04","Canada","Total receipts","1263209.0"
"125","2010/05","Canada","Total receipts","1721865.0"
"126","2010/06","Canada","Total receipts","1515995.0"
"127","2010/07","Canada","Total receipts","1418305.0"
"128","2010/08","Canada","Total receipts","1806949.0"
"129","2010/09","Canada","Total receipts","2356975.0"
"130","2010/10","Canada","Total receipts","2097231.0"
"131","2010/11","Canada","Total receipts","1744539.0"
"132","2010/12","Canada","Total receipts","1216150.0"
"133","2011/01","Canada","Total receipts","1560658.0"
"134","2011/02","Canada","Total receipts","1490752.0"
"135","2011/03","Canada","Total receipts","1505577.0"
"136","2011/04","Canada","Total receipts","1567236.0"
"137","2011/05","Canada","Total receipts","1221910.0"
"138","2011/06","Canada","Total receipts","1243839.0"
"139","2011/07","Canada","Total receipts","1145486.0"
"140","2011/08","Canada","Total receipts","909230.0"
"141","2011/09","Canada","Total receipts","981278.0"
"142","2011/10","Canada","Total receipts","905612.0"
"143","2011/11","Canada","Total receipts","1094044.0"
"144","2011/12","Canada","Total receipts","922171.0"
"145","2012/01","Canada","Total receipts","900778.0"
"146","2012/02","Canada","Total receipts","838173.0"
"147","2012/03","Canada","Total receipts","1164406.0"
"148","2012/04","Canada","Total receipts","1220108.0"
